Values, R:100000C:6e-05E:12
Time,Vc
0.1026, 0.203455
0.1028, 0.203849
0.103, 0.204242
0.1032, 0.204635
0.1034, 0.205028
0.1036, 0.205421
0.1038, 0.205815
0.104, 0.206208
0.1042, 0.206601
0.1044, 0.206994
0.1046, 0.207387
0.1048, 0.20778
0.105, 0.208173
0.1052, 0.208566
0.1054, 0.208959
0.1056, 0.209352
0.1058, 0.209745
0.106, 0.210138
0.1062, 0.210531
0.1064, 0.210924
0.1066, 0.211317
0.1068, 0.21171
0.107, 0.212103
0.1072, 0.212496
0.1074, 0.212889
0.1076, 0.213282
0.1078, 0.213675
0.108, 0.214068
0.1082, 0.21446
0.1084, 0.214853
0.1086, 0.215246
0.1088, 0.215639
0.109, 0.216032
0.1092, 0.216425
0.1094, 0.216817
0.1096, 0.21721
0.1098, 0.217603
0.11, 0.217996
0.1102, 0.218388
0.1104, 0.218781
0.1106, 0.219174
0.1108, 0.219566
0.111, 0.219959
0.1112, 0.220352
0.1114, 0.220744
0.1116, 0.221137
0.1118, 0.22153
0.112, 0.221922
0.1122, 0.222315
0.1124, 0.222707
0.1126, 0.2231
0.1128, 0.223493
0.113, 0.223885
0.1132, 0.224278
0.1134, 0.22467
0.1136, 0.225063
0.1138, 0.225455
0.114, 0.225848
0.1142, 0.22624
0.1144, 0.226633
0.1146, 0.227025
0.1148, 0.227417
0.115, 0.22781
0.1152, 0.228202
0.1154, 0.228595
0.1156, 0.228987
0.1158, 0.229379
0.116, 0.229772
0.1162, 0.230164
0.1164, 0.230556
0.1166, 0.230949
0.1168, 0.231341
0.117, 0.231733
0.1172, 0.232126
0.1174, 0.232518
0.1176, 0.23291
0.1178, 0.233302
0.118, 0.233694
0.1182, 0.234087
0.1184, 0.234479
0.1186, 0.234871
0.1188, 0.235263
0.119, 0.235655
0.1192, 0.236047
0.1194, 0.23644
0.1196, 0.236832
0.1198, 0.237224
0.12, 0.237616
0.1202, 0.238008
0.1204, 0.2384
0.1206, 0.238792
0.1208, 0.239184
0.121, 0.239576
0.1212, 0.239968
0.1214, 0.24036
0.1216, 0.240752
0.1218, 0.241144
0.122, 0.241536
0.1222, 0.241928
0.1224, 0.24232
0.1226, 0.242712
0.1228, 0.243104
0.123, 0.243496
0.1232, 0.243888
0.1234, 0.244279
0.1236, 0.244671
0.1238, 0.245063
0.124, 0.245455
0.1242, 0.245847
0.1244, 0.246239
0.1246, 0.24663
0.1248, 0.247022
0.125, 0.247414
0.1252, 0.247806
0.1254, 0.248197
0.1256, 0.248589
0.1258, 0.248981
0.126, 0.249372
0.1262, 0.249764
0.1264, 0.250156
0.1266, 0.250547
